total_tasks,outsourcing_rate,market_demand,market_supply,cost_reduction,time_savings,avg_topsis_score,avg_confidence
2,0.0,0.48309710834110675,0.8577372987104142,0.0,0.0,0.0,0.9
3,0.0,0.4615411882904094,0.8980351411278685,0.0,0.0,0.0,0.8666666666666667
8,0.125,0.5361753368858779,0.8690332160675411,0.11474409855123498,0.16014415931067233,0.5,0.8375
8,0.125,0.5699827841066517,0.8016937799961632,0.11474409855123498,0.16014415931067233,0.5,0.8375
8,0.125,0.631717841914042,0.7601047207053502,0.11474409855123498,0.16014415931067233,0.5,0.8375
9,0.1111111111111111,0.4330107226447124,0.7812805592803189,0.10448239203405141,0.13791396785627036,0.5,0.8333333333333334
11,0.09090909090909091,0.51639506225816,0.8683134775683435,0.09270218039248389,0.12011791746594727,0.5,0.8300000000000001
12,0.08333333333333333,0.4073990153485745,0.7448558743412584,0.09093418277509731,0.1166731997597532,0.5,0.85
14,0.14285714285714285,0.5070122148218066,0.8263429632845177,0.09360503672174386,0.11869865126030468,0.5,0.86
15,0.13333333333333333,0.46979095422632455,0.8403211835936455,0.09325438700054348,0.11517633365481726,0.5,0.86
17,0.11764705882352941,0.5355799695700201,0.8945085212174977,0.09104051763232394,0.1091720265103282,0.5,0.89
18,0.1111111111111111,0.40198139173737685,0.7584629712153576,0.08740761345990126,0.10021039163339919,0.5,0.89
22,0.18181818181818182,0.3929578917775197,0.7443326267169985,0.2510035657176745,0.284888108825264,0.8259405183352632,0.8992552320841378
25,0.2,0.483079987079787,0.7451545231826245,0.23612554573049238,0.24215959403077045,0.9266870662081413,0.9053056067228844
25,0.2,0.38713258950990614,0.8235272039759661,0.23612554573049238,0.24215959403077045,0.9266870662081413,0.9053056067228844
28,0.21428571428571427,0.39375320115853696,0.7824562256325416,0.22968873019473318,0.273025186274516,0.9422524241747625,0.8642378694460632
29,0.20689655172413793,0.5227901524811557,0.875312100138683,0.22892685394141088,0.2691354326588663,0.9422524241747625,0.8842378694460633
31,0.1935483870967742,0.6012466681289207,0.7948871669222622,0.2166630303488576,0.2501956505376982,0.8955940708466303,0.852080006858238
33,0.21212121212121213,0.5282722225011713,0.8646947959401593,0.19730413612035444,0.23974074396210962,0.903432363109921,0.8520072803512899
36,0.19444444444444445,0.5310734864267455,0.8124271644200168,0.1867498467411324,0.22295721165817145,0.903432363109921,0.8776332750601614
37,0.21621621621621623,0.4759240718777421,0.8465443754112107,0.19838866269104696,0.25583864703803044,0.7689549087399473,0.8678760680163389
39,0.23076923076923078,0.5135438582692812,0.8615246813599958,0.29693229867243404,0.3056203789966548,0.7689497348539032,0.8468898192886918
43,0.20930232558139536,0.6045189299895514,0.7909978339831493,0.2658215875097602,0.28075304499235576,0.7444664882082468,0.8673982535617675
45,0.2222222222222222,0.37685234409009905,0.7691526272336661,0.2681422460203238,0.31138004722957274,0.766898883848409,0.8704957197412655
45,0.2222222222222222,0.5177166528181882,0.8357899122987175,0.2681422460203238,0.31138004722957274,0.766898883848409,0.8704957197412655
45,0.2222222222222222,0.49980425865265854,0.7090967839477398,0.2681422460203238,0.31138004722957274,0.766898883848409,0.8704957197412655
48,0.22916666666666666,0.6612224893213439,0.7350810969840771,0.27541429660648736,0.34076759024813974,0.766898883848409,0.8701649276446052
50,0.24,0.5791063841485933,0.8135232468077674,0.27350705987616053,0.3658774437539587,0.7669084848172621,0.8484345314536066
51,0.23529411764705882,0.5464694028173914,0.7802556492402875,0.2628171417905736,0.35763618283598003,0.7669084848172621,0.8283538217803915
52,0.23076923076923078,0.6480155357750339,0.7967076003230319,0.2560664834833244,0.3516223463057589,0.7669084848172621,0.84967668707875
55,0.23636363636363636,0.31892541138612335,0.7877677965280342,0.27035825420489595,0.36162420995383304,0.8260010072004484,0.8489715229709903
56,0.25,0.4297122089371984,0.772697628758191,0.27035825420489595,0.37700848082021493,0.9305486178747344,0.8594818923145361
61,0.26229508196721313,0.7615534818963409,0.7500434143386292,0.2654871737361372,0.3900108380746831,0.8537497467201909,0.8597463816565153
62,0.25806451612903225,0.43613804901952696,0.7827235012598572,0.25860028776121546,0.3754882416324819,0.8537497467201909,0.8388454941893693
66,0.25757575757575757,1.5636531076657492,0.8590578881314905,0.2787149013911172,0.36696579222488707,0.8671281107603243,0.8584652319852786
72,0.2638888888888889,1.5386305859664773,0.7316721686055931,0.26590378772859297,0.36408028274571774,0.8255805623341854,0.8708875078407363
77,0.2987012987012987,1.6213123245436516,0.6869038222606694,0.34498918761178843,0.45346728420324317,0.7170428199894285,0.7911945812470342
86,0.313953488372093,1.4074722550676182,0.8325601560608098,0.3652015260409378,0.4924204269853875,0.7583875962172211,0.8410065734015422
93,0.3010752688172043,1.507376986177185,0.7164033273946926,0.32583775112012164,0.4452593851842218,0.7700641116878392,0.8263106802856577
98,0.2857142857142857,1.5003049926355252,0.7502912995756077,0.3046121239034626,0.4133728127593045,0.5,0.8436032486493422
105,0.29523809523809524,1.5719830191341284,0.7136665723847709,0.3171871701919736,0.4412129499323878,0.9849837579139321,0.8347972284978246
114,0.2894736842105263,1.6517015701738176,0.7775065326483134,0.35259666688793345,0.43872615642094087,0.7412051089661114,0.8657781173073523
121,0.2975206611570248,1.872677566834099,0.8643412342061751,0.3921213859967576,0.45583750526754724,0.7428120301236254,0.8158207355151432
121,0.2975206611570248,0.505709843505175,0.8187536658177036,0.3921213859967576,0.45583750526754724,0.7428120301236254,0.8158207355151432
122,0.29508196721311475,0.39839415148332136,0.8132586482733942,0.3911557419399846,0.45450832131937197,0.8237493734981672,0.8458207355151434
