total_tasks,outsourcing_rate,market_demand,market_supply,cost_reduction,time_savings,avg_topsis_score,avg_confidence
3,0.0,0.4851954860584387,0.8458054572797422,0.0,0.0,0.0,1.0
5,0.0,0.4489469456372743,0.757428786362674,0.0,0.0,0.0,1.0
7,0.0,0.5250419234954422,0.7737654479807351,0.0,0.0,0.0,1.0
11,0.0,0.620815995623515,0.7886961552100555,0.0,0.0,0.0,1.0
12,0.0,0.2791739687870046,0.7972869275490608,0.0,0.0,0.0,1.0
13,0.0,0.35504246192348066,0.7912912952697776,0.0,0.0,0.0,1.0
14,0.0,0.40416003080825674,0.8443810137256719,0.0,0.0,0.0,1.0
14,0.0,0.6035894838790162,0.8032979143838316,0.0,0.0,0.0,1.0
16,0.0,0.5410161076986794,0.8321008566035832,0.0,0.0,0.0,1.0
20,0.0,0.6221233080364393,0.7207541635193087,0.0,0.0,0.0,1.0
22,0.0,0.43630721460960514,0.7456061501448206,0.0,0.0,0.0,1.0
23,0.0,0.3492468740387342,0.7987090876506704,0.0,0.0,0.0,1.0
26,0.0,0.44948386389827244,0.7262542523238145,0.0,0.0,0.0,1.0
27,0.0,0.39222422872164214,0.7912307474943419,0.0,0.0,0.0,1.0
29,0.0,0.5436927180142088,0.8148599208308853,0.0,0.0,0.0,1.0
31,0.0,0.5426024735623567,0.8169439608728857,0.0,0.0,0.0,1.0
32,0.0,0.33628447059630395,0.7812694927059944,0.0,0.0,0.0,1.0
33,0.0,0.5632763399029895,0.8723981493933459,0.0,0.0,0.0,1.0
35,0.0,0.3277056023711128,0.8376753803712309,0.0,0.0,0.0,1.0
37,0.0,0.3888467179771173,0.8725038938392375,0.0,0.0,0.0,1.0
37,0.0,0.38850579477672537,0.8079086774881442,0.0,0.0,0.0,1.0
41,0.0,0.45710964870317916,0.8022202083117406,0.0,0.0,0.0,1.0
41,0.0,0.482003122208341,0.7745788069163455,0.0,0.0,0.0,1.0
42,0.0,0.5989432531021868,0.7688753870436447,0.0,0.0,0.0,1.0
42,0.0,0.6074164904260175,0.8139388424336048,0.0,0.0,0.0,1.0
45,0.0,0.4260658211039645,0.7919597829112235,0.0,0.0,0.0,1.0
47,0.0,0.46912623953419197,0.7913870108965041,0.0,0.0,0.0,1.0
48,0.0,0.6468045375039486,0.8014011879414302,0.0,0.0,0.0,1.0
50,0.0,0.44833010590267286,0.7198610320901352,0.0,0.0,0.0,1.0
52,0.0,0.478895307631364,0.8097519327965587,0.0,0.0,0.0,1.0
54,0.0,0.578057027660265,0.8052786900975129,0.0,0.0,0.0,1.0
57,0.0,0.5020742004192602,0.8347863086457121,0.0,0.0,0.0,1.0
58,0.0,0.4923988327563097,0.8083661449278439,0.0,0.0,0.0,1.0
62,0.0,0.47847701234934104,0.7427244819321193,0.0,0.0,0.0,1.0
62,0.0,0.4558048527826609,0.7127695915407811,0.0,0.0,0.0,1.0
67,0.0,0.5979798999704546,0.8429139742099858,0.0,0.0,0.0,1.0
70,0.0,0.5102412677513066,0.7037551213401179,0.0,0.0,0.0,1.0
73,0.0,0.5931643211791728,0.8517839044278166,0.0,0.0,0.0,1.0
73,0.0,0.5363181145439772,0.7734652958006476,0.0,0.0,0.0,1.0
78,0.0,0.5463052510773978,0.7815278650608769,0.0,0.0,0.0,1.0
83,0.0,0.6325029752440252,0.7914817281907567,0.0,0.0,0.0,1.0
85,0.0,0.6858952084702876,0.7299650779829738,0.0,0.0,0.0,1.0
87,0.0,0.5773112891127185,0.8713134274101011,0.0,0.0,0.0,1.0
87,0.0,0.28428198335072696,0.8254036596119897,0.0,0.0,0.0,1.0
88,0.0,0.5545823090092474,0.8279755745036141,0.0,0.0,0.0,1.0
91,0.0,0.5683360538168186,0.775663717799851,0.0,0.0,0.0,1.0
94,0.0,1.7874734657851914,0.7608505576485947,0.0,0.0,0.0,1.0
99,0.0,1.6247978721392078,0.7412629126563369,0.0,0.0,0.0,1.0
