total_tasks,outsourcing_rate,market_demand,market_supply,cost_reduction,time_savings,avg_topsis_score,avg_confidence
1,0.0,0.29197409259440577,0.8253781665296298,0.0,0.0,0.0,0.8
1,0.0,0.4675379318802477,0.7341852986443353,0.0,0.0,0.0,0.8
5,0.0,0.44420520867368896,0.8094597570852339,0.0,0.0,0.0,0.8
6,0.0,0.48203773381016074,0.79532651474228,0.0,0.0,0.0,0.8333333333333334
7,0.0,0.5686723664080926,0.8224654664532541,0.0,0.0,0.0,0.8285714285714285
8,0.0,0.5249671018682451,0.8320531784542776,0.0,0.0,0.0,0.8250000000000001
11,0.0,0.6629531718563182,0.8753461701119407,0.0,0.0,0.0,0.8400000000000001
14,0.07142857142857142,0.38624771157197274,0.8511950665881577,0.06645582960757082,0.03629542392067171,0.8657572420348293,0.8800000000000001
15,0.13333333333333333,0.6288019959419562,0.746327597107802,0.15642688989479617,0.1478763512847503,0.9328786210174147,0.8892552320841378
17,0.23529411764705882,0.4832929137844357,0.7154647902044721,0.3500152754061932,0.2586661547084405,0.8414393105087073,0.8603951232906102
20,0.2,0.6084447934550409,0.8511714836814716,0.2896601150233212,0.2183141948862117,0.8414393105087073,0.8728556624022407
23,0.21739130434782608,0.5290851882353091,0.7698225523075954,0.3144716287894627,0.22220704141198291,0.8466893534146976,0.8318675247368297
26,0.23076923076923078,0.5126075460517873,0.7413411971779827,0.495560534694203,0.30423430381188765,0.7892298416795529,0.800093814171792
30,0.23333333333333334,0.645081801393703,0.822905400924548,0.46440410181938224,0.3271161460148191,0.9552202815929647,0.7969449948014269
30,0.23333333333333334,0.4607295973928993,0.7655340395989649,0.46440410181938224,0.3271161460148191,0.9552202815929647,0.7969449948014269
31,0.25806451612903225,0.4704265123064026,0.8342122740180344,0.508893524188266,0.37011289494342003,0.9335760209287445,0.7983717877576043
34,0.2647058823529412,0.5412154220616389,0.8244663239351576,0.4414791788093328,0.3792966348749194,0.9337103681679948,0.8193929917345025
36,0.2777777777777778,0.5738202724654965,0.7723660577326418,0.4475679816076425,0.39352520262784585,0.8087103681679948,0.8090732827259597
37,0.2972972972972973,0.4147405777474282,0.7853584930208272,0.4475679816076425,0.4000091674702568,0.7469682945343958,0.7994402858146522
41,0.2926829268292683,0.5047147179853607,0.7461147409963564,0.41547989257250106,0.38521163717999074,0.7139757775554418,0.8189715229709904
43,0.3023255813953488,0.4006215608120501,0.8414181983900861,0.42652857613699485,0.3848142249550938,0.7445000997922036,0.7995013720045454
43,0.3023255813953488,0.4607762969619548,0.7810311985495697,0.42652857613699485,0.3848142249550938,0.7445000997922036,0.7995013720045454
44,0.29545454545454547,0.31836041644230506,0.8179884900862734,0.4230458285513803,0.38187332110013483,0.7135683962413396,0.8190600033459818
45,0.3111111111111111,0.38143358475242783,0.7530800643197735,0.42973374289908295,0.40555157218407034,0.8334855263991189,0.8292872252942571
47,0.3191489361702128,0.4030209072408316,0.7448815988463473,0.4334659758134602,0.4271738747177731,0.924783461909664,0.8396656719833002
48,0.3333333333333333,0.5501824618435824,0.8366748247963218,0.4604598652621075,0.4726849151227676,0.8398267695277312,0.8297463816565152
51,0.3137254901960784,0.38149830696895876,0.8349645180397315,0.4319196271685509,0.4356951000849302,0.8028644128531371,0.8282895201877765
51,0.3137254901960784,0.39465411823600016,0.6917711716076136,0.4319196271685509,0.4356951000849302,0.8028644128531371,0.8282895201877765
54,0.3333333333333333,0.6373805190319524,0.8311362866128764,0.44116728252447124,0.4648694422148424,0.6689720525346596,0.808457466339574
55,0.34545454545454546,0.5054612916127406,0.7550717589262455,0.4412644887895723,0.48519859408212157,0.6671059179017571,0.8089163255323465
59,0.3389830508474576,0.6130739912831911,0.8391793964629467,0.42520044008763724,0.47691050905629145,0.735638195654287,0.8610498122357828
62,0.3387096774193548,0.484944051575156,0.7247622535516145,0.4000269724632559,0.4616608384548896,0.8257157216539381,0.8715057388343219
62,0.3387096774193548,0.40249158009683134,0.7845925222335897,0.4000269724632559,0.4616608384548896,0.8257157216539381,0.8715057388343219
64,0.34375,0.5266918381485352,0.8200036137318577,0.3816107258009097,0.44412195147842415,0.8257157216539383,0.8513592989920806
