decision,topsis_score,confidence,cost_savings,time_savings,contractor_name,contractor_specialization
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.5,0.7,94.37002231512066,82.66886815634042,High-Throughput CPU_006,cpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.5,0.7,22.873689477761104,93.6298211879928,Premium GPU Specialist_000,gpu_specialist
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.5,0.7,291.7931250335902,84.81614469997402,High-Throughput CPU_004,cpu_specialist
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.7499302479597494,1.0,83.0034945087412,86.14901460260616,High-Throughput CPU_003,cpu_specialist
OUTSOURCE,0.9789870884638894,0.8925523208413788,450.1474045564575,221.97252476971238,Premium GPU Specialist_001,gpu_specialist
OUTSOURCE,0.7493299744868843,0.8113989120647223,197.52890533044126,87.48427626853594,High-Throughput CPU_003,cpu_specialist
LOCAL,0.0,0.7491048343227424,0.0,0.0,,
LOCAL,0.0,0.7755005567935636,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7975720704382256,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.7490878076533043,0.81625,44.634108405347476,68.68830671296216,High-Throughput CPU_003,cpu_specialist
OUTSOURCE,0.5,0.7,-29.49068334506888,2.8970409905403756,High-Throughput CPU_007,cpu_specialist
LOCAL,0.0,0.7762965529076646,0.0,0.0,,
LOCAL,0.0,0.7946771420554618,0.0,0.0,,
OUTSOURCE,0.978909034869524,0.8106716469952417,478.36204764846843,219.96267774456453,Premium GPU Specialist_001,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7808653382050206,0.0,0.0,,
LOCAL,0.0,0.7963299691130737,0.0,0.0,,
OUTSOURCE,0.7318375651503021,0.8100575436104562,164.62525958895577,100.79729913822318,High-Throughput CPU_003,cpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7867713470164175,0.0,0.0,,
LOCAL,0.0,0.7999583376727071,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9786645827688351,0.81184,12.943361232241255,123.86013656690966,Premium GPU Specialist_001,gpu_specialist
