decision,topsis_score,confidence,cost_savings,time_savings,contractor_name,contractor_specialization
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.5,0.7,147.25219119763207,134.29717102801357,Hybrid Cloud_030,hybrid_cloud
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
LOCAL,0.0,0.8,0.0,0.0,,
OUTSOURCE,0.9433492843834278,1.0,406.27897736869363,187.1524215310933,Premium GPU Specialist_063,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.8768615424575616,0.8925523208413788,139.4172484576698,151.235539708425,Premium GPU Specialist_063,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.7847027388309473,0.8113989120647223,450.30067598641716,199.77845324436606,Premium GPU Specialist_091,gpu_specialist
LOCAL,0.0,0.7491048343227424,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.5,0.7,-0.8833053598042824,52.18755680566214,Premium GPU Specialist_056,gpu_specialist
OUTSOURCE,0.5,0.7,115.06386932420324,26.50197617527965,High-Throughput CPU_098,cpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.5,0.7,55.19126328923875,100.0358066134529,Budget Provider_007,budget_provider
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7755005567935636,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7975720704382256,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.7656307856711109,0.81625,107.12975164066506,157.72048025393363,Premium GPU Specialist_056,gpu_specialist
OUTSOURCE,0.5,0.7,17.037935663550215,114.55750417707668,High-Throughput CPU_019,cpu_specialist
LOCAL,0.0,0.7762965529076646,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7946771420554618,0.0,0.0,,
OUTSOURCE,0.7525354271447596,0.8106716469952417,-18.280953289691958,170.47025438483868,Premium GPU Specialist_036,gpu_specialist
LOCAL,0.0,0.7808653382050206,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7963299691130737,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.7597104354509943,0.8100575436104562,-15.628147974188828,157.9405799944091,Premium GPU Specialist_036,gpu_specialist
LOCAL,0.0,0.7867713470164175,0.0,0.0,,
LOCAL,0.0,0.7999583376727071,0.0,0.0,,
OUTSOURCE,0.5,0.7,-26.7789012580849,0.0,Edge Specialist_097,edge_specialist
OUTSOURCE,0.7876658029799319,0.81184,76.87066124276822,239.59660844946902,Premium GPU Specialist_028,gpu_specialist
LOCAL,0.0,0.7930220481464704,0.0,0.0,,
OUTSOURCE,0.7877783759738389,0.8044136865856379,84.61573588636804,144.36389840823955,Premium GPU Specialist_028,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7883398951148328,0.0,0.0,,
OUTSOURCE,0.5,0.7,207.24980062953557,152.75794264904295,Budget Provider_044,budget_provider
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7991929032678501,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9317026650177741,0.8091491177404222,129.1773174374508,68.14231826710026,Premium GPU Specialist_028,gpu_specialist
LOCAL,0.0,0.7955975788546896,0.0,0.0,,
OUTSOURCE,0.9319162051059162,0.8051036934354578,213.89017698520044,236.06362830030375,Premium GPU Specialist_028,gpu_specialist
LOCAL,0.0,0.793216845046565,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9314794796485127,0.8022722194827545,184.95125354798807,170.22012539105552,Premium GPU Specialist_028,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7917539916348935,0.0,0.0,,
OUTSOURCE,0.9313477107577826,0.8003703703703704,146.1330441174929,78.78114160567078,Premium GPU Specialist_028,gpu_specialist
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
LOCAL,0.0,0.7909911253285403,0.0,0.0,,
LOCAL,0.0,0.7991869565791824,0.0,0.0,,
LOCAL,0.0,1.0,0.0,0.0,,
OUTSOURCE,0.9312993255906049,0.8068608114104795,86.69880837281148,133.45533470592025,Premium GPU Specialist_028,gpu_specialist
